the,ðә
be,bi:
and,ænd
of,ɒv
a,ei
in,in
to,tu:
have,hæv
it,it
i,ai
that,ðæt
for,fɒ:
you,ju:
he,hi:
with,wið
on,ɒn
do,du:
say,sei
this,θis
they,ðei
at,æt
but,bʌt
we,wi:
his,hiz
from,frɒm
not,nɒt
"n't",nt
by,bai
she,ʃi:
or,ɒ:
as,æz
what,hwɒt
go,gou
their,ðєә
can,kæn
who,hu:
get,get
if,if
would,wud
her,hә:
all,ɒ:l
my,mai
make,meik
about,"ә'baut"
know,nәu
will,wil
up,ʌp
one,wʌn
time,taim
there,ðєә
year,jiә
so,sәu
think,θiŋk
when,hwen
which,hwitʃ
them,ðem
some,sʌm
me,mi:
people,"'pi:pl"
take,teik
out,aut
into,"'intu:"
just,dʒʌst
see,si:
him,him
your,juә
come,kʌm
could,kud
now,nau
than,ðæn
like,laik
other,"'ʌðә"
how,hau
then,ðen
its,its
our,"'auә"
two,tu:
more,mɒ:
these,ði:z
want,wɒnt
way,wei
look,luk
first,fә:st
also,"'ɒ:lsәu"
new,nju:
because,"bi'kɒ:z"
day,dei
use,ju:s
no,nәu
man,mæn
find,faind
here,hiә
thing,θiŋ
give,giv
many,"'meni"
well,wel
only,"'әunli"
those,ðәuz
tell,tel
very,"'veri"
even,"'i:vәn"
back,bæk
any,"'eni"
good,gud
woman,"'wumәn"
through,θru:
us,ʌs
life,laif
child,tʃaild
work,wә:k
down,daun
may,mei
after,"'ɑ:ftә"
should,ʃud
call,kɒ:l
world,wә:ld
over,"'әuvә"
school,sku:l
still,stil
try,trai
last,lɑ:st
ask,ɑ:sk
need,ni:d
too,tu:
feel,fi:l
three,θri:
state,steit
never,"'nevә"
become,"bi'kʌm"
between,"bi'twi:n"
high,hai
something,"'sʌmθiŋ"
really,"'riәli"
most,mәust
another,"ә'nʌðә"
much,mʌtʃ
family,"'fæmәli"
own,әun
leave,li:v
put,put
old,әuld
while,hwail
mean,mi:n
keep,ki:p
student,"'stju:dnt"
why,hwai
let,let
great,greit
same,seim
big,big
group,gru:p
begin,"bi'gin"
seem,si:m
country,"'kʌntri"
help,help
talk,tɒ:k
where,hwєә
turn,tә:n
problem,"'prɒblәm"
every,"'evri"
start,stɑ:t
hand,hænd
might,mait
american,"ә'merikәn"
show,ʃәu
part,pɑ:t
against,"ә'geinst"
place,pleis
such,sʌtʃ
again,"ә'gein"
few,fju:
case,keis
week,wi:k
company,"'kʌmpәni"
mr,"'mistә(r)"
system,"'sistәm"
each,i:tʃ
right,rait
program,"'prәugræm"
hear,hiә
question,"'kwestʃәn"
during,"'djuәriŋ"
play,plei
government,"'gʌvәnmәnt"
run,rʌn
small,smɒ:l
number,"'nʌmbә"
off,ɒf
always,"'ɒ:lweiz"
move,mu:v
night,nait
live,liv.laiv
point,pɒint
believe,"bi'li:v"
hold,hәuld
today,"tә'dei"
bring,briŋ
