tool,file,wall_s,cpu_user_s,cpu_sys_s,peak_rss_kb,out_bytes,audio_s,realtime_factor
wav2aac,*ch2*1s*.wav,0.0055,0.00,0.00,5652480,0,0,inf
ffmpeg,*ch2*1s*.wav,0.0170,0.01,0.00,10895360,0,0,inf
wav2aac,sr48000_ch1_bd16_10s.wav,0.0282,0.01,0.00,12173312,163830,10.000000,0.0028
ffmpeg,sr48000_ch1_bd16_10s.wav,0.0587,0.04,0.00,22003712,163758,10.000000,0.0059
wav2aac,sr48000_ch1_bd16_1s.wav,0.0135,0.00,0.00,11829248,14821,1.000000,0.0135
ffmpeg,sr48000_ch1_bd16_1s.wav,0.0345,0.02,0.00,21233664,18028,1.000000,0.0345
wav2aac,sr48000_ch1_bd16_60s.wav,0.1105,0.09,0.00,13975552,968657,60.000000,0.0018
ffmpeg,sr48000_ch1_bd16_60s.wav,0.1699,0.16,0.02,22249472,973220,60.000000,0.0028
wav2aac,sr48000_ch1_bd24_10s.wav,0.0290,0.01,0.00,12189696,163830,10.000000,0.0029
ffmpeg,sr48000_ch1_bd24_10s.wav,0.0495,0.04,0.00,22151168,163758,10.000000,0.0050
wav2aac,sr48000_ch1_bd24_1s.wav,0.0139,0.00,0.00,11845632,14821,1.000000,0.0139
ffmpeg,sr48000_ch1_bd24_1s.wav,0.0279,0.01,0.00,21479424,18028,1.000000,0.0279
wav2aac,sr48000_ch1_bd24_60s.wav,0.1118,0.09,0.00,13991936,968657,60.000000,0.0019
ffmpeg,sr48000_ch1_bd24_60s.wav,0.1630,0.16,0.02,22528000,973220,60.000000,0.0027
wav2aac,sr48000_ch2_bd16_10s.wav,0.0480,0.03,0.00,12451840,100453,10.000000,0.0048
ffmpeg,sr48000_ch2_bd16_10s.wav,0.1048,0.09,0.00,22937600,163681,10.000000,0.0105
wav2aac,sr48000_ch2_bd16_1s.wav,0.0155,0.00,0.00,12206080,7696,1.000000,0.0155
ffmpeg,sr48000_ch2_bd16_1s.wav,0.0398,0.02,0.00,21889024,17951,1.000000,0.0398
wav2aac,sr48000_ch2_bd16_60s.wav,0.2524,0.23,0.01,13893632,743350,60.000000,0.0042
ffmpeg,sr48000_ch2_bd16_60s.wav,0.4021,0.39,0.02,23199744,973143,60.000000,0.0067
wav2aac,sr48000_ch2_bd24_10s.wav,0.0500,0.04,0.00,12484608,98709,10.000000,0.0050
ffmpeg,sr48000_ch2_bd24_10s.wav,0.0876,0.07,0.00,23232512,163681,10.000000,0.0088
wav2aac,sr48000_ch2_bd24_1s.wav,0.0155,0.00,0.00,12189696,7088,1.000000,0.0155
ffmpeg,sr48000_ch2_bd24_1s.wav,0.0322,0.02,0.00,22052864,17951,1.000000,0.0322
wav2aac,sr48000_ch2_bd24_60s.wav,0.2686,0.25,0.01,13975552,764897,60.000000,0.0045
ffmpeg,sr48000_ch2_bd24_60s.wav,0.3873,0.38,0.02,23724032,973143,60.000000,0.0065
wav2aac,sr96000_ch1_bd16_10s.wav,0.0371,0.02,0.00,12173312,163830,10.000000,0.0037
ffmpeg,sr96000_ch1_bd16_10s.wav,0.0692,0.06,0.00,23003136,163758,10.000000,0.0069
wav2aac,sr96000_ch1_bd16_1s.wav,0.0159,0.00,0.00,11829248,14821,1.000000,0.0159
ffmpeg,sr96000_ch1_bd16_1s.wav,0.0371,0.02,0.00,21987328,18028,1.000000,0.0371
wav2aac,sr96000_ch1_bd16_60s.wav,0.1658,0.14,0.01,14008320,968657,60.000000,0.0028
ffmpeg,sr96000_ch1_bd16_60s.wav,0.1833,0.19,0.02,23298048,973220,60.000000,0.0031
wav2aac,sr96000_ch1_bd24_10s.wav,0.0386,0.02,0.00,12189696,163830,10.000000,0.0039
ffmpeg,sr96000_ch1_bd24_10s.wav,0.0507,0.04,0.00,23166976,163758,10.000000,0.0051
wav2aac,sr96000_ch1_bd24_1s.wav,0.0149,0.00,0.00,11845632,14821,1.000000,0.0149
ffmpeg,sr96000_ch1_bd24_1s.wav,0.0287,0.01,0.00,22003712,18028,1.000000,0.0287
wav2aac,sr96000_ch1_bd24_60s.wav,0.1773,0.15,0.01,13991936,968657,60.000000,0.0030
ffmpeg,sr96000_ch1_bd24_60s.wav,0.1665,0.18,0.02,23560192,973220,60.000000,0.0028
wav2aac,sr96000_ch2_bd16_10s.wav,0.0657,0.04,0.00,12484608,100453,10.000000,0.0066
ffmpeg,sr96000_ch2_bd16_10s.wav,0.1405,0.12,0.01,25559040,163681,10.000000,0.0141
wav2aac,sr96000_ch2_bd16_1s.wav,0.0230,0.00,0.00,12173312,7696,1.000000,0.0230
ffmpeg,sr96000_ch2_bd16_1s.wav,0.0545,0.04,0.00,22970368,17951,1.000000,0.0545
